Start,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Stop,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,
Step,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,
Fixed/Offset, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
XAxis,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,
YAxis,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,

111.800,-1.92267878E-3,1.57107133E-3,-3.32267885E-3,-3.09767853E-3,-4.74142842E-3,-7.36017898E-3,-2.23517884E-3,4.33571462E-4,-5.51017886E-3,-1.07267860E-3,2.49516568E-3,-1.11108436E-3,3.34516587E-3,-1.87983434E-3,-4.82358458E-3,-2.15483457E-3,-5.92334021E-4,-3.95483430E-3,-4.61108424E-3,-2.23608431E-3,-1.12358422E-3,-1.23608427E-3,-3.14858416E-3,-3.96108441E-3,-3.57983471E-3,-5.05483430E-3,-3.28608463E-3,3.44516593E-3,-5.55483485E-3,-3.76108452E-3,-2.11108476E-3,
112.00,-3.31642898E-3,-4.63517895E-3,-8.03928706E-4,-7.89286350E-5,-2.29767873E-3,-6.39767852E-3,-7.40392879E-3,-4.00392897E-3,-6.86642900E-3,-1.12267898E-3,3.03266593E-3,-4.64858487E-3,1.53266569E-3,-6.23584434E-4,-7.54834327E-4,4.27641580E-3,-3.01108439E-3,-5.57983387E-3,-7.61084375E-4,-4.54834371E-4,-7.61733484E-3,-7.54834327E-4,-6.39858423E-3,1.70165862E-4,-6.90483488E-3,-1.71733450E-3,-1.61733408E-3,2.08891602E-3,-1.48584324E-4,-4.66733426E-3,-6.04834408E-4,
112.200,-2.44767894E-3,-6.64284235E-5,-6.47267886E-3,-4.33517899E-3,2.83571339E-4,-5.05392859E-3,-2.58517847E-3,-1.66642875E-3,-5.32892905E-3,-1.60392851E-3,2.01391568E-3,-1.04834326E-4,-8.79834348E-4,-2.90483399E-3,-3.06733465E-3,-6.99858414E-3,-3.15483427E-3,-5.42334281E-4,-1.41733454E-3,-2.69858423E-3,-7.22983433E-3,-5.38608478E-3,-1.29858451E-3,8.82665627E-4,1.09516585E-3,-5.69858449E-3,-1.96108408E-3,-3.97983473E-3,-6.81108423E-3,-2.57358421E-3,-3.18608410E-3,
112.400,-3.29767889E-3,-5.53928781E-4,-4.86642867E-3,-1.39142852E-3,-4.37892880E-3,-2.62267911E-3,-4.18517878E-3,-2.78928695E-4,-8.09142832E-3,-7.66428770E-4,-1.40483421E-3,2.50766566E-3,-4.74858424E-3,-1.43608428E-3,-4.67358483E-3,-5.44233434E-3,-5.52358385E-3,-3.74858431E-3,-4.01108433E-3,1.26416053E-4,7.57665839E-4,1.07641588E-3,-4.72983439E-3,-7.86084507E-4,-4.30483464E-3,-5.57983480E-3,-1.49858429E-3,-6.98584307E-4,-2.19858438E-3,-3.09858425E-3,-3.74233443E-3,
112.600,-1.14767882E-3,-1.19767874E-3,-1.16642867E-3,-3.77892866E-3,-8.66017956E-3,-5.85178495E-4,-6.65392866E-3,-3.34767881E-3,-4.17892868E-3,4.64821409E-4,1.66391581E-3,-7.67334248E-4,-6.73584465E-4,-5.36084292E-4,-7.74233462E-3,1.04516582E-3,-3.96108441E-3,-5.72358491E-3,-8.77358392E-3,-7.98584078E-4,-5.94858453E-3,-2.49233423E-3,-6.11084339E-4,-1.15483417E-3,-6.34858385E-3,-3.32983444E-3,-4.99858428E-3,-1.27983408E-3,-3.91108450E-3,-4.80483426E-3,1.57665927E-4,
112.800,-7.03928643E-4,-5.10178681E-4,-5.49767911E-3,-7.96017889E-3,-9.66428663E-4,-3.36642866E-3,5.96071419E-4,-7.09767919E-3,-1.20392872E-3,-4.22267895E-3,-1.97983463E-3,-8.36084189E-4,-2.27983436E-3,-3.10483435E-3,2.07665755E-4,-8.23584385E-4,-2.87358440E-3,-3.66733456E-3,-5.26108453E-3,-4.02983464E-3,-3.69858439E-3,-3.97358462E-3,-7.04233488E-3,-5.73583995E-4,-5.97983459E-3,-6.17358461E-3,-6.85483497E-3,-4.98608500E-3,-1.31108426E-3,-6.92983437E-3,-2.66733440E-3,
113.00,3.68357170E-3,4.89821075E-4,-2.14767875E-3,-3.18517862E-3,-1.66428828E-4,-3.42892879E-3,-4.19142842E-3,-4.02892847E-3,-5.09767886E-3,-9.72678768E-4,1.03266595E-3,-6.25483459E-3,-3.06733442E-3,-2.59233429E-3,8.89157891E-5,-2.47983471E-3,1.01415812E-4,8.45165923E-4,-5.98584302E-4,-5.64858457E-3,-3.84858414E-3,-3.94858466E-3,-2.97358446E-3,5.57665830E-4,8.89154180E-5,3.82665836E-4,-7.04834063E-4,-3.92358424E-3,-6.98584248E-4,-4.92358394E-3,-7.90483505E-3,
113.200,-4.15392872E-3,-1.11017900E-3,-1.24142854E-3,-3.28517915E-3,-1.04767876E-3,-4.94142901E-3,-4.79142927E-3,-9.78928641E-4,-2.83517875E-3,-5.74142858E-3,4.07016603E-3,-4.67334234E-4,-2.44233455E-3,-4.82358458E-3,-6.23584085E-4,-4.62358445E-3,-3.92358424E-3,-6.79834164E-4,-4.54858504E-3,-3.53608467E-3,-4.29834065E-4,-2.99233431E-3,-6.36733510E-3,-1.69858453E-3,-3.97358416E-3,-2.35483446E-3,-7.27983471E-3,-2.89233448E-3,-1.44858414E-3,-6.90483442E-3,-4.12983447E-3,
113.400,4.60715964E-5,-2.89289746E-5,-5.42267924E-3,-4.09142859E-3,-4.28517908E-3,-8.16642866E-3,-4.49142884E-3,-2.64142873E-3,-2.61017890E-3,-1.82267861E-3,4.70165804E-4,-7.23584206E-4,-6.89233467E-3,-1.43608428E-3,8.70165997E-4,-3.97983426E-3,-6.10483438E-3,-4.23341990E-5,-2.26733461E-3,-5.67334122E-4,-4.05483460E-3,-2.05483404E-3,-3.62358452E-3,-4.43608500E-3,2.06391606E-3,-5.47983451E-3,-7.80483475E-3,-2.58608419E-3,-3.19233397E-3,-4.11733473E-3,-1.80483423E-3,
113.600,-1.71017891E-3,-1.22678786E-4,-4.30392846E-3,-3.39767896E-3,-5.60179004E-4,-6.61017885E-3,-3.37267900E-3,-3.24767875E-3,-6.83517940E-3,-4.62892884E-3,-9.23342523E-5,3.95165727E-4,-1.97358429E-3,-1.11108425E-3,1.17016595E-3,-5.30483481E-3,-4.54858458E-3,-2.09233421E-3,-7.17334275E-4,1.39155427E-5,-2.26733438E-3,-4.62358445E-3,-9.73584305E-4,-1.77358452E-3,1.57641585E-3,-2.24858453E-3,-2.21108459E-3,8.76416161E-4,-4.54834109E-4,-5.74858487E-3,-1.79233460E-3,
