Start,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Stop,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,
Step,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,
Fixed/Offset, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
XAxis,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,
YAxis,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,

34.60,-8.22678790E-4,-1.75392884E-3,-3.66642908E-3,-4.41017887E-3,-5.85392863E-3,-3.46642872E-3,-4.47267853E-3,-4.69767908E-3,4.60714109E-5,-1.97267905E-3,-7.12358393E-3,-1.49858440E-3,2.37016589E-3,-1.61108433E-3,-2.24858453E-3,-4.95483447E-3,-6.32983493E-3,-1.83608441E-3,-4.73608449E-3,-1.46108435E-3,-7.67983403E-3,-2.91108456E-3,1.72641594E-3,-5.34233497E-3,-3.99858458E-3,-1.32358435E-3,-8.59233458E-3,-4.30483464E-3,-4.57358453E-3,-6.32983446E-3,-2.24233442E-3,
34.80,3.06482124E-3,-4.53928486E-4,-2.51017883E-3,-7.97893014E-3,-7.17892870E-3,-3.39142885E-3,-3.45392874E-3,-3.96642881E-3,-9.91428620E-4,2.83571339E-4,6.32665702E-4,-4.73584339E-4,-5.55483438E-3,1.78891572E-3,-1.54233421E-3,-6.20483421E-3,-6.91108452E-3,-6.79834397E-4,-2.47983402E-3,-7.03608477E-3,-5.51108457E-3,-3.06108454E-3,-3.12358420E-3,-2.08608434E-3,-3.63608450E-3,-2.44858442E-3,-2.44233431E-3,-2.17358442E-3,-3.17983446E-3,1.26391579E-3,-3.01108416E-3,
35.00,1.75857148E-3,-1.66017876E-3,1.27107149E-3,-8.03928822E-4,-6.29142905E-3,-4.95392922E-3,-1.58517878E-3,-3.11642839E-3,7.02321529E-4,-7.91428611E-4,-2.31108419E-3,5.83266560E-3,-2.29834390E-4,-2.94858450E-3,-2.17358442E-3,4.45165497E-4,-6.06733421E-3,-2.47983471E-3,-1.00673353E-2,-4.16733464E-3,-5.47983451E-3,-4.94858436E-3,-6.20483421E-3,-1.02983450E-3,-2.27358448E-3,-3.77358450E-3,-7.04233442E-3,-4.24858415E-3,-2.14233436E-3,-5.99233434E-3,-1.61108410E-3,
35.20,-1.52892864E-3,-9.47678811E-4,-3.07267881E-3,-6.74142875E-3,4.02107183E-3,-5.64767933E-3,-1.92267878E-3,-3.57267866E-3,-1.93517876E-3,-4.18517878E-3,-2.66733440E-3,-2.39858450E-3,-2.22358457E-3,-2.50483444E-3,-1.71733426E-3,-6.92334434E-4,1.87016570E-3,-2.22983444E-3,-2.40483461E-3,-2.09233444E-3,-1.59858412E-3,-2.09233444E-3,-5.66733442E-3,-2.79858476E-3,-8.80483445E-3,-4.81733447E-3,-5.34858461E-3,-7.90483411E-3,-4.45483439E-3,-9.92334215E-4,1.70165760E-4,
35.40,-1.66642875E-3,-1.60392863E-3,1.05857139E-3,-3.89767881E-3,8.46071402E-4,-6.43517915E-3,-2.33517890E-3,-9.41428705E-4,-1.54142897E-3,-1.71642902E-3,-6.12358470E-3,4.10766620E-3,-1.24858436E-3,-5.98584593E-4,-6.96108490E-3,-7.38608465E-3,-5.62983425E-3,-4.74233460E-3,-6.90483442E-3,-5.99858491E-3,-2.14858446E-3,-2.06733425E-3,-4.58608428E-3,-4.17983439E-3,-4.34233481E-3,-7.77983479E-3,-1.41733442E-3,-6.79233437E-3,-2.71108444E-3,-5.86084265E-4,-5.37358504E-3,
35.60,-1.78928676E-4,-3.47892893E-3,-3.69767891E-3,7.08571053E-4,-4.98517882E-3,-2.10392871E-3,-4.02267883E-3,-2.69142864E-3,-1.69142883E-3,-1.21642870E-3,3.33266566E-3,-3.14233406E-3,3.63915402E-4,-1.50483428E-3,-1.39233423E-3,-3.92358471E-3,-4.12983447E-3,-3.79233435E-3,-3.76733439E-3,1.00141601E-3,-4.62358445E-3,-4.64233477E-3,-3.79233458E-3,-3.81733431E-3,-3.16733448E-3,-3.73608456E-3,-6.09858474E-3,3.70165886E-4,-2.52983440E-3,-4.81108390E-3,-2.91108456E-3,
35.80,-1.35178489E-4,-1.60392874E-3,-6.60392921E-3,-9.41428530E-4,-4.04767878E-3,-5.42267831E-3,-1.92267913E-3,-3.86642874E-3,-1.69767847E-3,-3.84767912E-3,-5.48584212E-4,-3.02358484E-3,-3.36733484E-3,-3.64858401E-3,-2.38608452E-3,1.10141584E-3,-1.45483424E-3,-3.67334113E-4,-6.56108465E-3,-3.86733469E-3,-9.60483495E-3,-3.42983403E-3,-5.37983468E-3,-2.21733470E-3,-6.47983467E-3,-7.29858503E-3,-7.79834460E-4,-5.92358457E-3,-3.03608458E-3,-3.09233461E-3,2.57016579E-3,
36.00,-2.53517879E-3,-3.20392870E-3,-4.21642885E-3,-2.27267877E-3,-5.41642867E-3,-4.17267904E-3,-3.74767883E-3,-5.12267929E-3,1.60232151E-3,-9.69767850E-3,8.63915659E-4,4.28891554E-3,-3.41108441E-3,-8.74233339E-3,-5.54233417E-3,-5.74233430E-3,-3.79858469E-3,2.43891566E-3,1.05141592E-3,-3.03608435E-3,-7.00483425E-3,-3.13608488E-3,-3.29858484E-3,1.39158219E-5,-4.56733443E-3,-6.89858478E-3,-1.47358445E-3,-3.62358452E-3,-2.19233427E-3,4.63915698E-4,-5.02358424E-3,
36.20,-9.41428705E-4,-2.48517888E-3,-6.51642866E-3,-9.28928377E-4,-5.36017912E-3,-1.76017894E-3,-6.45392947E-3,-1.52267865E-3,3.46071378E-4,-5.89767890E-3,-1.04834231E-4,-4.57983464E-3,-3.86733492E-3,-1.72983448E-3,-2.00483436E-3,-4.42334276E-4,-3.55483452E-3,-2.52358452E-3,-2.38608476E-3,-3.03608435E-3,-5.17358445E-3,-5.57358423E-3,-5.49858436E-3,-6.22358453E-3,-4.62983456E-3,-3.84858437E-3,8.07665871E-4,-7.66108464E-3,-5.83608495E-3,-5.56108449E-3,-7.11733475E-3,
36.40,-2.57267873E-3,-1.65392854E-3,-4.71642893E-3,1.25232153E-3,6.77321281E-4,-4.97267907E-3,-2.91642873E-3,8.58571497E-4,-8.21642950E-3,-2.11642892E-3,-1.53608411E-3,2.63891579E-3,7.66562334E-6,-4.38608415E-3,-7.54834327E-4,-6.36084005E-4,-4.07358445E-3,-2.37358431E-3,-1.11733424E-3,-4.48608445E-3,-6.23584201E-4,-1.94233446E-3,-3.84858460E-3,-6.27983455E-3,-5.51733421E-3,-5.76733472E-3,-1.51108438E-3,-3.88608454E-3,-4.34858445E-3,-6.09858427E-3,-3.12983431E-3,
36.60,2.43357150E-3,-4.12267866E-3,-2.18517892E-3,-2.89286018E-5,-1.02267857E-3,-6.61017932E-3,9.60715115E-5,-2.91017885E-3,-3.10392864E-3,-2.47892854E-3,3.17016593E-3,-4.87358402E-3,-4.13608504E-3,-1.56733429E-3,-2.94233439E-3,-2.42358423E-3,-7.57983420E-3,-5.17333974E-4,-3.36108450E-3,-5.53608406E-3,-7.11733429E-3,-1.51733437E-3,-7.79834401E-4,-4.54233494E-3,-1.47983432E-3,-6.13608444E-3,-2.01108446E-3,-5.49858436E-3,-2.74858437E-3,-8.66108481E-3,-4.67358436E-3,
36.80,9.58571560E-4,-1.70392892E-3,-1.22678699E-4,-1.15392846E-3,-9.35179007E-4,-6.99142879E-3,-7.02267885E-3,-6.21642871E-3,-3.34767881E-3,-3.45392851E-3,-2.76108459E-3,-2.11108429E-3,-6.86084095E-4,-2.22358434E-3,-2.54858425E-3,-3.43608414E-3,1.13266555E-3,-1.10842284E-5,-7.32358405E-3,-7.98344627E-5,-1.28608441E-3,-5.62358461E-3,-7.12983496E-3,-2.17983429E-3,-4.67983447E-3,-2.24233442E-3,1.37016585E-3,-5.22983447E-3,-2.81733461E-3,-8.62983428E-3,-4.41733468E-3,
37.00,1.02732121E-3,-5.06017916E-3,-1.29767880E-3,-1.61017850E-3,-4.69767861E-3,-8.19767918E-3,-5.81642939E-3,-1.97892869E-3,-1.95392850E-3,-2.09142873E-3,2.49516568E-3,1.92641583E-3,-1.35483441E-3,-1.72983448E-3,-2.90483446E-3,-5.51108457E-3,-7.36108469E-3,-2.14858446E-3,-1.16108428E-3,-3.85483424E-3,-1.63608417E-3,-2.97983433E-3,-6.01733383E-3,-4.86108428E-3,-3.27983452E-3,-6.65483437E-3,-2.61733425E-3,-6.88608410E-3,-7.21108494E-3,-6.09233463E-3,-1.53608422E-3,
37.20,2.92732171E-3,5.96071535E-4,-5.78517932E-3,-4.02892893E-3,-7.92267919E-3,-3.41017870E-3,-5.59767894E-3,-7.62267876E-3,-3.33517906E-3,5.33571234E-4,1.38915610E-4,-9.11084120E-4,1.72641582E-3,-1.42334116E-4,-7.54834153E-4,-1.82358432E-3,-3.92983481E-3,-7.04834354E-4,9.95165785E-4,-2.40483438E-3,-5.71108470E-3,-2.36733421E-3,-6.98584015E-4,-5.71733434E-3,-2.17983453E-3,-9.07358434E-3,1.15141575E-3,-2.38608429E-3,-1.06108410E-3,-2.77983444E-3,-3.94233456E-3,
37.40,3.29607166E-3,-3.24142864E-3,-2.54767900E-3,-2.78928870E-4,-8.68517905E-3,-2.50392873E-3,-5.11642918E-3,-4.56017908E-3,-5.11017907E-3,-3.43517866E-3,1.80766603E-3,-4.42334160E-4,-1.49233418E-3,4.33266629E-3,-7.02983513E-3,-1.11108436E-3,-5.42983413E-3,-5.86084439E-4,-3.20483418E-3,-8.62983428E-3,1.01415928E-4,-4.52983472E-3,-5.39858406E-3,-4.73608449E-3,-3.82983428E-3,3.89154884E-5,1.13891589E-3,-3.12358444E-3,-4.61733434E-3,-1.18485847E-2,-6.32983493E-3,
37.60,2.58571294E-4,-6.58517890E-3,-4.97267907E-3,-1.58517854E-3,-2.97678343E-4,-2.56642862E-3,-2.57267850E-3,-6.10178919E-4,-1.70392834E-3,-2.30392884E-3,4.20165627E-4,-6.86084677E-4,4.22641588E-3,8.82665743E-4,9.51415743E-4,-1.40483433E-3,1.51415821E-4,-2.26733414E-3,-6.03608415E-3,-1.50483474E-3,-1.43608451E-3,-3.82983452E-3,-2.89858459E-3,-3.96108441E-3,-2.39233463E-3,-8.08608439E-3,-3.50483460E-3,-4.54858458E-3,-1.56108453E-3,-6.23608427E-3,-2.24858429E-3,
37.80,-2.37892894E-3,-1.65392854E-3,-5.64767886E-3,6.39821519E-4,-2.10392894E-3,-4.66017891E-3,-5.74767916E-3,3.27321526E-4,-3.01642879E-3,-3.09142889E-3,1.05766556E-3,-2.52358429E-3,-3.86733469E-3,-1.47358433E-3,-3.20483418E-3,-6.44233450E-3,-3.34858405E-3,-1.46733434E-3,-4.38608415E-3,-6.13608398E-3,-6.88608456E-3,-3.91108450E-3,-3.26733454E-3,-4.26733447E-3,-1.79834242E-4,-2.04233429E-3,-4.01108433E-3,1.09516573E-3,-3.64858424E-3,-7.02358456E-3,3.51415569E-4,
38.00,1.33357116E-3,-6.46017911E-3,-4.92267869E-3,-1.35392882E-3,-5.00392821E-3,-4.22267895E-3,-5.70392935E-3,-6.67267945E-3,-5.89142879E-3,-1.42267882E-3,-3.73608409E-3,-1.35483430E-3,-9.92334215E-4,-2.81108427E-3,-6.89858431E-3,-4.13608458E-3,-5.34233451E-3,-1.63608452E-3,-1.51733437E-3,-6.22358453E-3,-6.08608499E-3,8.26658652E-5,-3.16108461E-3,-2.96733482E-3,1.73266570E-3,-6.02358440E-3,-2.82358425E-3,-4.79858415E-3,-5.52983396E-3,-7.24858418E-3,-5.98584302E-4,
38.20,1.39607117E-3,-4.41428827E-4,-6.37267902E-3,-4.34767874E-3,1.30857131E-3,-5.99142909E-3,-4.32267878E-3,-3.96642881E-3,-2.51642847E-3,-4.13517887E-3,2.35766545E-3,-4.85843047E-5,-3.63608426E-3,-1.44858402E-3,-6.31108508E-3,-4.66733472E-3,-6.22983510E-3,-6.22983463E-3,-2.22358434E-3,-4.15483443E-3,-3.29233450E-3,-1.39858446E-3,-3.26108467E-3,-3.96108441E-3,-1.64858461E-3,-7.15483492E-3,-3.62983439E-3,-6.92983484E-3,-2.98608467E-3,-1.13608432E-3,-5.56733459E-3,
38.40,-3.97678465E-4,-3.26642883E-3,-2.85178714E-4,1.05232152E-3,5.52321435E-4,-5.17892931E-3,-2.66017881E-3,-4.91642859E-3,-4.97267861E-3,-3.72892851E-3,-6.54834439E-4,6.82665792E-4,-4.61108424E-3,-4.04233485E-3,-5.67983463E-3,-3.17358435E-3,-5.60483476E-3,2.95165752E-4,-5.36733493E-3,-8.79834581E-4,-5.87358465E-3,-1.36108417E-3,-1.41108432E-3,-2.36733467E-3,-1.61108421E-3,-3.78608447E-3,-3.54233454E-3,-2.37983419E-3,-5.73608465E-3,-2.46733450E-3,-3.91733460E-3,
38.60,-4.04767878E-3,3.39607173E-3,-3.32892896E-3,-1.33517873E-3,-1.99142867E-3,-9.01017897E-3,1.22732134E-3,-6.39767898E-3,-4.06017900E-3,-2.49142898E-3,-9.92334331E-4,-9.85846054E-5,-2.42983433E-3,2.38266587E-3,-4.48608445E-3,-2.31108442E-3,-6.25483459E-3,-1.40483421E-3,-6.28608465E-3,-4.46108403E-3,-6.79834164E-4,-1.22983416E-3,-2.90483423E-3,-3.71108437E-3,-3.42983427E-3,-4.67334496E-4,-4.67334234E-4,-4.81108483E-3,-9.72358510E-3,-6.03608461E-3,-5.36733447E-3,
38.80,-6.54142909E-3,-3.59142874E-3,-2.57892860E-3,-3.52892838E-3,2.21071299E-4,-5.17892884E-3,-2.89287418E-5,-4.86017857E-3,6.21071435E-4,-5.21017890E-3,3.25141591E-3,-4.44858428E-3,3.35141597E-3,-4.25483426E-3,-4.66733426E-3,2.95166014E-4,-4.33608470E-3,-3.16108437E-3,-4.01108433E-3,-8.20483454E-3,-6.54834206E-4,-2.78608431E-3,-3.29233427E-3,-6.25483459E-3,-2.97358446E-3,1.85141596E-3,-4.11108416E-3,-1.64233451E-3,-4.37358441E-3,-8.59858468E-3,-5.86084439E-4,
39.00,-4.17892914E-3,2.35232152E-3,1.07107125E-3,-1.70392846E-3,-2.51642894E-3,-4.11017891E-3,-1.19142875E-3,-5.24142943E-3,-5.21642901E-3,-2.09142896E-3,-7.67334190E-4,1.10141560E-3,-3.78608424E-3,-2.23608455E-3,-3.18608480E-3,-4.59858403E-3,-1.03548346E-2,-4.64858487E-3,-5.14858495E-3,-4.51108441E-3,1.16391596E-3,-2.11108429E-3,-5.30483434E-3,-6.97983429E-3,-5.61084249E-4,-1.52358436E-3,-4.49858466E-3,-1.35483430E-3,-3.11733456E-3,-4.56108479E-3,-2.92358431E-3,
39.20,-3.50392843E-3,1.65857142E-3,8.71071417E-4,-3.44142900E-3,-1.21017883E-3,-1.08789289E-2,-3.55392857E-3,-5.67267928E-3,-6.52267924E-3,-3.42892879E-3,9.26415785E-4,-4.47358424E-3,3.10141593E-3,-3.93608445E-3,-3.02983425E-3,-4.16108500E-3,-6.19858457E-3,-2.10483442E-3,-8.94233491E-3,-5.09233447E-3,-6.71733450E-3,-3.46733443E-3,-6.99233450E-3,-3.16733448E-3,-2.16108421E-3,-4.72983439E-3,-3.90483462E-3,-2.42358423E-3,-5.36733447E-3,-3.10483458E-3,-3.72358458E-3,
39.40,-1.80392875E-3,4.45857132E-3,-3.57892900E-3,-2.84142885E-3,-4.71017882E-3,-2.62267841E-3,-2.53517902E-3,-5.69142913E-3,1.15232146E-3,-2.72892858E-3,-1.62983441E-3,1.87641580E-3,5.35141584E-3,-6.11108402E-3,-6.33608457E-3,-3.23608425E-3,-3.09233414E-3,7.95165659E-4,-4.54233447E-3,1.52641581E-3,-3.09858471E-3,-7.09233433E-3,-1.04834347E-4,-7.91733433E-3,2.06391560E-3,-8.67358502E-3,-3.16108437E-3,-6.25483505E-3,-2.30483431E-3,-5.96733484E-3,6.95165829E-4,
39.60,1.40232127E-3,4.21071600E-4,-2.89286490E-5,-8.14142916E-3,-4.26642876E-3,-3.84142902E-3,-4.24767844E-3,-6.59767911E-3,-4.56017908E-3,-8.72678473E-4,4.95165703E-4,-4.91108466E-3,-3.23584391E-4,8.76415870E-4,-6.17334154E-4,-4.90483455E-3,-6.24858448E-3,1.17641536E-3,-3.44858412E-3,-6.11084513E-4,-2.65483418E-3,-9.46108531E-3,-3.50483460E-3,-6.19233446E-3,-2.37983419E-3,-4.49858466E-3,-1.72358437E-3,-8.60843793E-5,-2.31733406E-3,-3.99858458E-3,-2.72983452E-3,
39.80,-3.26642906E-3,-3.94142838E-3,4.46071383E-4,-3.45392874E-3,-3.96642881E-3,-3.12892883E-3,-4.97267954E-3,-1.68517861E-3,1.26482151E-3,-9.53928393E-4,1.13915885E-4,6.32665760E-4,2.40141596E-3,-5.14233438E-3,-4.77983430E-3,-8.16108473E-3,-3.70483450E-3,-1.60483434E-3,-5.59858419E-3,-5.06108440E-3,-7.23584439E-4,-4.95483493E-3,-7.69233424E-3,-4.87358449E-3,-4.51733405E-3,-3.56733426E-3,-6.39233366E-3,-1.58608484E-3,-5.44233387E-3,-5.04858419E-3,-3.42358416E-3,
40.00,-2.23517860E-3,4.78982180E-3,-4.15392872E-3,-7.54142925E-3,-1.82267907E-3,-3.26642906E-3,-1.57267856E-3,-4.19142842E-3,9.33571137E-4,6.77321397E-4,-9.29834321E-4,-1.88608444E-3,-3.22358450E-3,-3.06733465E-3,-7.35843059E-5,-7.79834401E-4,-4.07358445E-3,-4.94233426E-3,-5.37358457E-3,-1.97983440E-3,-4.73584427E-4,-3.72983445E-3,-7.14233518E-3,-7.82983471E-3,-4.64233477E-3,-7.63608469E-3,-2.59858416E-3,-5.40483464E-3,-3.74233420E-3,-7.33608473E-3,-1.80483423E-3,
40.20,-3.53517872E-3,-3.47678550E-4,-2.16017896E-3,3.67732160E-3,-6.82267873E-3,-1.05392875E-3,-7.66428362E-4,-6.77892938E-3,-1.91428509E-4,-1.97892869E-3,1.93891616E-3,-6.31733425E-3,2.20141583E-3,-6.11084513E-4,-2.28608446E-3,-3.62983439E-3,-1.41108432E-3,-2.92358454E-3,-4.79858462E-3,2.98891566E-3,-7.54834327E-4,-3.91733460E-3,-6.28608465E-3,-3.35483463E-3,-5.45483455E-3,-6.02358393E-3,-7.48608448E-3,2.26391573E-3,-2.46108463E-3,-3.34858475E-3,2.19516596E-3,
40.40,-2.41017854E-3,-3.14142881E-3,-1.24142866E-3,-3.65392817E-3,-3.13517870E-3,-3.34767881E-3,-5.88517915E-3,-4.18517878E-3,-2.48517888E-3,-3.31642898E-3,1.63266598E-3,6.39155478E-5,3.57016595E-3,8.51415854E-4,-4.66108462E-3,-1.41733442E-3,-1.41733454E-3,7.01657482E-5,-6.36084354E-4,-9.11084469E-4,-3.31108458E-3,-3.27358441E-3,-3.72358458E-3,-3.17983446E-3,-2.94233439E-3,-6.90483488E-3,-6.22358453E-3,-4.04834456E-4,-6.66733459E-3,-3.69858439E-3,-4.05483460E-3,
40.60,-1.72267854E-3,-4.41017933E-3,-4.84142872E-3,-3.04767909E-3,-5.62892854E-3,-3.93517874E-3,-7.47267902E-3,-4.04142914E-3,-2.71642860E-3,-3.07267904E-3,-1.56108441E-3,3.18266568E-3,5.45165793E-4,-2.73584388E-4,-6.79834338E-4,-4.72358428E-3,-1.73345215E-5,-9.41108447E-3,-5.45483455E-3,-4.42334072E-4,-6.29233476E-3,1.96391577E-3,-4.13608411E-3,-3.63608403E-3,-7.00483518E-3,-6.05483493E-3,-5.30483481E-3,-3.95483477E-3,-1.52983423E-3,-2.79858476E-3,7.63916061E-4,
40.80,2.53982120E-3,-2.54142890E-3,-6.85178675E-4,-5.51642850E-3,-4.18517878E-3,1.27732137E-3,-6.27267826E-3,-9.78928409E-4,-3.05392919E-3,-2.97678722E-4,-2.90483423E-3,-1.29233440E-3,3.78891593E-3,-5.11084509E-4,1.02641585E-3,-1.84233440E-3,-5.07358415E-3,-7.59858452E-3,-1.50483439E-3,-3.15483427E-3,-2.23608408E-3,-7.80483428E-3,-3.97983473E-3,-2.41108472E-3,-5.47983451E-3,-4.67983447E-3,-2.76108435E-3,-2.85483431E-3,-7.05483463E-3,-1.72358425E-3,-1.92358450E-3,
41.00,-3.03928449E-4,-3.32892896E-3,-2.74767866E-3,-1.60392874E-3,-3.03928740E-4,-4.95392876E-3,-4.20392863E-3,-3.24142911E-3,-7.48517876E-3,-5.86642884E-3,-7.86084507E-4,2.01416013E-4,8.38915817E-4,-5.23583964E-4,-3.10483435E-3,-1.23608450E-3,-5.51108457E-3,-1.06733420E-3,-2.24858453E-3,-2.23584284E-4,-2.19233450E-3,-5.43608470E-3,-4.51108441E-3,-4.84858453E-3,-4.69858432E-3,-4.64858441E-3,-2.66108429E-3,2.50141579E-3,-1.27983419E-3,-2.36733444E-3,-3.34233465E-3,
41.20,5.08571393E-4,-2.27892841E-3,-4.16017883E-3,-1.21017895E-3,-2.36642873E-3,-2.76642852E-3,-4.00392897E-3,-6.97678712E-4,-3.89142893E-3,9.64821316E-4,8.63915775E-4,-8.11084348E-4,-1.39858457E-3,4.24516574E-3,-1.46108447E-3,-5.46733430E-3,-5.82358427E-3,-4.79834242E-4,-4.67334321E-4,-4.28608479E-3,-5.37358457E-3,-4.70483489E-3,-5.25483489E-3,-3.92358471E-3,-1.72983424E-3,-2.96108425E-3,-4.72983439E-3,-2.26108427E-3,-3.99233447E-3,-4.42983443E-3,-9.86084342E-4,
41.40,-3.39767919E-3,-3.47678637E-4,4.70232219E-3,1.52320979E-4,-3.53928277E-4,-1.02267845E-3,-1.74767897E-3,-3.54767870E-3,-2.37892894E-3,-4.22678742E-4,2.26415606E-4,-4.36084199E-4,4.67641652E-3,-1.34858419E-3,-3.94858420E-3,-8.86084337E-4,-6.94233458E-3,-1.19233434E-3,-6.99858554E-3,1.10141607E-3,-1.50483451E-3,-3.91733460E-3,-1.26235848E-2,-4.42983443E-3,-3.12358444E-3,-5.19858440E-3,-3.11733456E-3,-3.69858439E-3,-6.12358423E-3,-2.57358444E-3,4.76415677E-4,
41.60,4.09607124E-3,1.41482160E-3,-6.74767932E-3,1.13357126E-3,-5.09142876E-3,-1.53517886E-3,-5.03928983E-4,5.85716225E-5,-3.27892904E-3,-1.84767845E-3,2.23266589E-3,-4.67983447E-3,8.13915743E-4,-6.48584391E-4,-8.67334486E-4,-3.36084224E-4,-2.34858459E-3,-3.21733416E-3,-7.19233463E-3,-1.62358454E-3,-3.01108439E-3,1.02641573E-3,-8.02983437E-3,-2.14858423E-3,-2.04233406E-3,-2.11108406E-3,-3.15483520E-3,3.32665804E-4,-2.81108427E-3,-6.88608456E-3,-1.31733459E-3,
41.80,7.71071180E-4,2.64821196E-4,-4.83517908E-3,-3.29142879E-3,-1.62892858E-3,-3.54142883E-3,-3.33517883E-3,-4.19142889E-3,-5.94142918E-3,-5.91017911E-3,-4.34233434E-3,-4.23608441E-3,2.44516577E-3,-1.55483407E-3,5.10766590E-3,-3.26733454E-3,-3.47358454E-3,-4.84858453E-3,-1.78608415E-3,1.70165717E-4,-3.06733442E-3,-3.97358462E-3,-2.75483425E-3,-3.47358431E-3,-2.29233457E-3,-8.40483420E-3,-1.73340559E-5,-1.82983442E-3,-3.13608465E-3,2.64516589E-3,-2.98608420E-3,
42.00,6.96071424E-4,-7.26785511E-5,-8.16428568E-4,-7.97678716E-4,-2.61017890E-3,-1.20392861E-3,-3.60392896E-3,-8.25392921E-3,-3.39142908E-3,2.33357144E-3,-2.67983438E-3,-4.73584223E-4,-1.73608423E-3,-3.13608465E-3,-2.21108436E-3,-1.79233425E-3,-2.04233429E-3,-3.71108460E-3,-9.23342086E-5,2.51391577E-3,-3.13608418E-3,-1.91108417E-3,-4.92358441E-3,-4.35483409E-3,-7.61084375E-4,-5.89858461E-3,1.26415485E-4,-4.56733443E-3,-6.50483463E-3,-4.94858436E-3,-3.83608462E-3,
42.20,-2.91428529E-4,3.78982117E-3,3.96071468E-4,-4.37892880E-3,-3.95392859E-3,-5.85392956E-3,-1.82892871E-3,-7.21017923E-3,-3.51642864E-3,-4.26017866E-3,-1.61108444E-3,1.79516582E-3,-2.59233429E-3,1.03266595E-3,-7.04834238E-4,1.00766588E-3,-1.96108455E-3,-3.62983462E-3,-2.81108450E-3,-1.67358457E-3,-7.36084301E-4,-2.48608459E-3,-3.96733452E-3,1.07665546E-4,-4.03608475E-3,3.57665675E-4,-3.12983431E-3,-1.56108418E-3,-3.82983428E-3,-6.37358520E-3,-3.98608437E-3,
42.40,-1.06017874E-3,7.52321270E-4,-2.58517894E-3,-2.49767909E-3,-1.47678613E-4,-2.89767911E-3,-6.29142858E-3,-2.02267850E-3,-3.55392857E-3,-4.21642885E-3,3.57665675E-4,-3.96108441E-3,-1.47358445E-3,2.07665667E-4,3.38891591E-3,-3.14858463E-3,-3.67358443E-3,-1.72358449E-3,-6.36733416E-3,8.76415987E-4,-9.53608565E-3,1.27641601E-3,-4.49233456E-3,-4.84858453E-3,-1.31108402E-3,-8.29834316E-4,-6.42333995E-4,-1.63608440E-3,-3.10483458E-3,-2.83608446E-3,-1.24858448E-3,
42.60,-1.18517852E-3,1.65857153E-3,-5.53928898E-4,-5.14767878E-3,2.40232144E-3,-1.66428581E-4,7.33571302E-4,-4.20392910E-3,-8.35178769E-4,-1.38517900E-3,-7.79834285E-4,-4.44858428E-3,-2.46733427E-3,-9.42334358E-4,-3.84858483E-3,1.11391570E-3,-4.91108419E-3,-7.03608431E-3,-6.94858469E-3,2.53891596E-3,1.32665955E-4,-2.36084219E-4,-5.59858466E-3,-2.91733420E-3,-2.06108438E-3,-5.53608453E-3,-3.77358450E-3,-4.48584382E-4,-4.77358466E-3,-6.39233505E-3,-3.89233418E-3,
42.80,-1.31642865E-3,-1.04767876E-3,-2.10392894E-3,-4.11642902E-3,1.21482147E-3,-3.15392902E-3,-1.54767861E-3,-4.06642910E-3,8.14820989E-4,-3.20392870E-3,-1.44233415E-3,-1.51733402E-3,2.53891596E-3,-7.73584296E-4,-3.89858452E-3,-4.61733481E-3,-1.02983438E-3,-5.31108491E-3,-7.01108389E-3,3.51391593E-3,-1.57983426E-3,5.38915745E-4,-4.89858445E-3,3.88915651E-4,-1.67983433E-3,-3.67358443E-3,-3.29233450E-3,-7.04834063E-4,-6.43608486E-3,-5.77983446E-3,-2.35483423E-3,
43.00,-3.00392904E-3,-7.35178590E-4,-4.92892880E-3,-1.65392878E-3,-3.51017877E-3,-4.81642876E-3,-2.65392871E-3,-5.04767895E-3,-3.49767855E-3,-1.72678570E-4,-1.14233431E-3,-8.61084438E-4,5.45165851E-4,-1.26108411E-3,-1.58608425E-3,-9.23584506E-4,-2.03608419E-3,-4.37358441E-3,-4.36108466E-3,1.53891579E-3,-3.67983477E-3,2.57641613E-3,-2.27983436E-3,2.32665989E-4,1.81391579E-3,-6.98608439E-3,-1.51108450E-3,-1.51108427E-3,-8.55483487E-3,-1.08608452E-3,2.27016583E-3,
